episode,timestep,reward
1,2000,0.0
3,4000,0.0
5,6000,0.0
8,8000,0.1048
10,10000,0.0
12,12000,0.0
14,14000,0.0
16,16000,0.0
18,18000,0.0
20,20000,0.0
22,22000,0.0
24,24000,0.0
26,26000,0.0
28,28000,0.0
30,30000,0.0
32,32000,0.0
34,34000,0.0
36,36000,0.0
38,38000,0.0
40,40000,0.0
42,42000,0.0
44,44000,0.0
46,46000,0.0
48,48000,0.0
50,50000,0.0
52,52000,0.0
54,54000,0.0
56,56000,0.0
58,58000,0.0
60,60000,0.0
62,62000,0.0
64,64000,0.0
66,66000,0.0
68,68000,0.0
70,70000,0.0
72,72000,0.0
74,74000,0.0
76,76000,0.0
78,78000,0.0
80,80000,0.0
82,82000,0.0
84,84000,0.0
86,86000,0.0
88,88000,0.0
90,90000,0.0
92,92000,0.0
94,94000,0.0
96,96000,0.0
98,98000,0.0
100,100000,0.0
102,102000,0.0
104,104000,0.0
106,106000,0.0
108,108000,0.0
110,110000,0.0
112,112000,0.0
114,114000,0.0
116,116000,0.0
118,118000,0.0
120,120000,0.0
122,122000,0.0
124,124000,0.0
126,126000,0.0
128,128000,0.0
130,130000,0.0
132,132000,0.0
134,134000,0.0
136,136000,0.0
138,138000,0.0
140,140000,0.0
142,142000,0.0
144,144000,0.0
146,146000,0.0
148,148000,0.0
150,150000,0.0
152,152000,0.0
154,154000,0.0
156,156000,0.0
158,158000,0.0
160,160000,0.0
162,162000,0.0
164,164000,0.0
166,166000,0.0
168,168000,0.0
170,170000,0.0
172,172000,0.0
174,174000,0.0
176,176000,0.0
178,178000,0.0
180,180000,0.0
182,182000,0.0
184,184000,0.0
186,186000,0.0
188,188000,0.0
190,190000,0.0
192,192000,0.0
194,194000,0.0
196,196000,0.0
198,198000,0.0
200,200000,0.0
202,202000,0.0
204,204000,0.0
206,206000,0.0
208,208000,0.0
210,210000,0.0
212,212000,0.0
214,214000,0.0
216,216000,0.0
218,218000,0.0
220,220000,0.0
222,222000,0.0
