episode,timestep,reward
7,2000,0.0
14,4000,0.0
22,6000,0.0
29,8000,0.0
37,10000,0.0
44,12000,0.0
51,14000,0.0
59,16000,0.0
66,18000,0.0
74,20000,0.0
81,22000,0.0
88,24000,0.0
96,26000,0.0
103,28000,0.0
111,30000,0.0
118,32000,0.0
125,34000,0.0
133,36000,0.0
140,38000,0.0
148,40000,0.0
155,42000,0.0
162,44000,0.0
170,46000,0.0
177,48000,0.0
185,50000,0.0
192,52000,0.0
199,54000,0.0
207,56000,0.0
214,58000,0.0
222,60000,0.0
229,62000,0.0
237,64000,0.0
244,66000,0.0
251,68000,0.0
259,70000,0.0
266,72000,0.0
274,74000,0.0
281,76000,0.0
288,78000,0.0
296,80000,0.0
303,82000,0.0
311,84000,0.0
318,86000,0.0
325,88000,0.0
333,90000,0.0
340,92000,0.0
348,94000,0.0
355,96000,0.0
362,98000,0.0
370,100000,0.0
377,102000,0.0
385,104000,0.0
392,106000,0.0
399,108000,0.0
407,110000,0.0
414,112000,0.0
422,114000,0.0
429,116000,0.0
437,118000,0.0
444,120000,0.0
451,122000,0.0
459,124000,0.0
466,126000,0.0
474,128000,0.0
481,130000,0.0
488,132000,0.0
496,134000,0.0
503,136000,0.0
511,138000,0.0
518,140000,0.0
525,142000,0.0
533,144000,0.0
540,146000,0.0
548,148000,0.0
555,150000,0.0
562,152000,0.0
570,154000,0.0
577,156000,0.0
585,158000,0.0
592,160000,0.0
599,162000,0.0
607,164000,0.0
614,166000,0.0
622,168000,0.0
629,170000,0.0
637,172000,0.0
644,174000,0.0
651,176000,0.0
659,178000,0.0
666,180000,0.0
674,182000,0.0
681,184000,0.0
688,186000,0.0
696,188000,0.0
703,190000,0.0
711,192000,0.0
718,194000,0.0
725,196000,0.0
733,198000,0.0
740,200000,0.0
748,202000,0.0
755,204000,0.0
762,206000,0.0
770,208000,0.0
777,210000,0.0
785,212000,0.0
792,214000,0.0
799,216000,0.0
807,218000,0.0
814,220000,0.0
822,222000,0.0
829,224000,0.0
837,226000,0.0
844,228000,0.0
851,230000,0.0
859,232000,0.0
866,234000,0.0
874,236000,0.0
881,238000,0.0
888,240000,0.0
896,242000,0.0
903,244000,0.0
911,246000,0.0
918,248000,0.0
925,250000,0.0
933,252000,0.0
940,254000,0.0
948,256000,0.0
955,258000,0.0
962,260000,0.0
970,262000,0.0
977,264000,0.0
985,266000,0.0
992,268000,0.0
999,270000,0.0
1007,272000,0.0
1014,274000,0.0
1022,276000,0.0
1029,278000,0.0
1037,280000,0.0
1044,282000,0.0
1051,284000,0.0
1059,286000,0.0
1066,288000,0.0
1074,290000,0.0
1081,292000,0.0
1088,294000,0.0
1096,296000,0.0
1103,298000,0.0
1111,300000,0.0
1118,302000,0.0
1125,304000,0.0
1133,306000,0.0
1140,308000,0.0
1148,310000,0.0
1155,312000,0.0
1162,314000,0.0
1170,316000,0.0
1177,318000,0.0
1185,320000,0.0
1192,322000,0.0
1199,324000,0.0
1207,326000,0.0
1214,328000,0.0
1222,330000,0.0
1229,332000,0.0
1237,334000,0.0
1244,336000,0.0
1251,338000,0.0
1259,340000,0.0
1266,342000,0.0
1274,344000,0.0
1281,346000,0.0
1288,348000,0.0
1296,350000,0.0
1303,352000,0.0
1311,354000,0.0
1318,356000,0.0
1325,358000,0.0
1333,360000,0.0
1340,362000,0.0
1348,364000,0.0
1355,366000,0.0
1362,368000,0.0
1370,370000,0.0
1377,372000,0.0
1385,374000,0.0
1392,376000,0.0
1399,378000,0.0
1407,380000,0.0
1414,382000,0.0
1422,384000,0.0
1429,386000,0.0
1437,388000,0.0
1444,390000,0.0
1451,392000,0.0
1459,394000,0.0
1466,396000,0.0
1474,398000,0.0
1481,400000,0.0
1488,402000,0.0
1496,404000,0.0
1503,406000,0.0
1511,408000,0.0
1518,410000,0.0
1525,412000,0.0
1533,414000,0.0
1540,416000,0.0
1548,418000,0.0
1555,420000,0.0
1562,422000,0.0
1570,424000,0.0
1577,426000,0.0
1585,428000,0.0
1592,430000,0.0
1599,432000,0.0
1607,434000,0.0
1614,436000,0.0
1622,438000,0.0
1629,440000,0.0
1637,442000,0.0
1644,444000,0.0
1651,446000,0.0
1659,448000,0.0
1666,450000,0.0
1674,452000,0.0
1681,454000,0.0
1688,456000,0.0
1696,458000,0.0
1703,460000,0.0
1711,462000,0.0
1718,464000,0.0
1725,466000,0.0
1733,468000,0.0
1740,470000,0.0
1748,472000,0.0
1755,474000,0.0
1762,476000,0.0
1770,478000,0.0
1777,480000,0.0
1785,482000,0.0
1792,484000,0.0
1799,486000,0.0
1807,488000,0.0
1814,490000,0.0
1822,492000,0.0
1829,494000,0.0
1837,496000,0.0
1844,498000,0.0
1851,500000,0.0
1859,502000,0.0
1866,504000,0.0
1874,506000,0.0
1881,508000,0.0
1888,510000,0.0
1896,512000,0.0
1903,514000,0.0
1911,516000,0.0
1918,518000,0.0
1925,520000,0.0
1933,522000,0.0
1940,524000,0.0
1948,526000,0.0
1955,528000,0.0
1962,530000,0.0
1970,532000,0.0
1977,534000,0.0
1985,536000,0.0
1992,538000,0.0
1999,540000,0.0
2007,542000,0.0
2014,544000,0.0
2022,546000,0.0
2029,548000,0.0
2037,550000,0.0
2044,552000,0.0
2051,554000,0.0
2059,556000,0.0
2066,558000,0.0176
2074,560000,0.0
2081,562000,0.0
2088,564000,0.0
2096,566000,0.0
2103,568000,0.021
2111,570000,0.0
